ime,dat,latitude,longitude,,,count,
1.33E+17,6/8/2023 18:53,40.021494,-75.1398496,5.67,2.04,3.03, 
1.33E+17,6/8/2023 18:53,40.021673,-75.1397999,5.67,2.04,3.03, 
1.33E+17,6/8/2023 18:53,40.021673,-75.1397999,5.67,2.04,3.03, 
1.33E+17,6/19/2023,40.023331,-75.1387349,10.4,2.26,3.03,
1.33E+17,6/8/2023 18:53,40.020652,-75.1400715,5.67,2.16,3.04,
1.33E+17,6/8/2023 18:53,40.020652,-75.1400715,5.67,2.16,3.04,
1.33E+17,6/8/2023 18:53,40.020780,-75.1400448,5.67,2.16,3.04,
1.33E+17,6/8/2023 18:53,40.020780,-75.1400448,5.67,2.16,3.04,
1.33E+17,6/8/2023 18:53,40.020890,-75.1400259,5.67,2.16,3.04,
1.33E+17,6/8/2023 18:53,40.020890,-75.1400259,5.67,2.16,3.04,
1.33E+17,6/8/2023 18:53,40.020997,-75.1399989,5.67,2.16,3.04,
1.33E+17,6/8/2023 18:53,40.020997,-75.1399989,5.67,2.16,3.04,
1.33E+17,6/11/2023 17:59,40.018156,-75.1346221,3.79,1.82,3.04,
1.33E+17,6/11/2023 17:59,40.018233,-75.1345032,3.79,1.82,3.04,
1.33E+17,6/11/2023 17:59,40.018371,-75.1344420,3.79,1.82,3.04,
1.33E+17,6/11/2023 17:59,40.018535,-75.1344070,3.79,1.82,3.04,
1.33E+17,6/11/2023 17:59,40.018724,-75.1343664,3.79,1.82,3.04,
1.33E+17,7/5/2023,40.017507,-75.1327553,3.79,1.88,3.04,
1.33E+17,7/5/2023,40.017636,-75.1327353,3.79,1.88,3.04,
1.33E+17,7/5/2023,40.017744,-75.1327131,3.79,1.88,3.04,
1.33E+17,6/11/2023 18:33,40.020515,-75.1310674,10.1,2.08,3.04,
1.33E+17,6/19/2023,40.023851,-75.1420585,9.99,1.51,3.05,
1.33E+17,6/19/2023,40.023819,-75.1418436,10.1,1.51,3.05,
1.33E+17,6/19/2023,40.023780,-75.1416006,10.2,1.51,3.05,
1.33E+17,6/19/2023,40.023742,-75.1413738,10.3,1.51,3.05,
1.33E+17,6/19/2023,40.023698,-75.1411268,10.2,1.51,3.05,
1.33E+17,6/19/2023,40.023659,-75.1408556,10.3,1.51,3.05,
1.33E+17,6/19/2023,40.023630,-75.1405883,10.4,1.51,3.05,
1.33E+17,6/19/2023,40.023597,-75.1403393,10.5,1.51,3.05,
1.33E+17,6/8/2023 18:53,40.020101,-75.1402008,5.67,2.08,3.05,
1.33E+17,6/8/2023 18:53,40.020101,-75.1402008,5.67,2.08,3.05,
1.33E+17,6/8/2023 18:53,40.020247,-75.1401678,5.67,2.08,3.05,
1.33E+17,6/8/2023 18:53,40.020247,-75.1401678,5.67,2.08,3.05,
1.33E+17,6/8/2023 18:53,40.020360,-75.1401394,5.67,2.08,3.05,
1.33E+17,6/8/2023 18:53,40.020360,-75.1401394,5.67,2.08,3.05,
1.33E+17,6/19/2023,40.023555,-75.1401083,10.5,1.51,3.05,
1.33E+17,6/8/2023 18:53,40.020557,-75.1400940,5.67,2.08,3.05,
1.33E+17,6/8/2023 18:53,40.020557,-75.1400940,5.67,2.08,3.05,
1.33E+17,6/19/2023,40.023511,-75.1398997,10.5,1.51,3.05,
1.33E+17,6/19/2023,40.023483,-75.1397623,10.6,1.51,3.05,
1.33E+17,7/5/2023,40.020846,-75.1365401,4.33,2,3.05,
